B02730,R176897,D1782E,"An extempore sermon, preached upon malt, by a way of caution to good fellows; at the request of two schollars, / by a lover of ale, out of a hallow [sic] tree.","Lover of ale.; Dod, John, 1549?-1645.",s n,No pubplace,Great Britain; Scotland; Temperance; England; 17th century.; Alcoholism; Broadsides; Early works to 1800.,1691
A09981,S122552,20235,"A liveles life: or, Mans spirituall death in sinne Wherein is both learnedly and profitably handled these foure doctrines the spirituall death in sinne. The doctrine of humiliation. Mercy to be found in Christ. Continuance in sinne, dangerous. Being the substance of severall sermons upon Ephes. 2. 1,2,3. And you hath he quickned, who were dead in trespasses and sins, &c. Whereunto is annexed a profitable sermon at Lincolnes Inne, on Gen. XXII. XIV. Delivered by that late faithful preacher, and worthy instrument of Gods glory, Iohn Preston, Dr. in Divinity, chaplaine in ordinary to his Maiesty, master of Emanuel Colledge in Cambridge, and sometimes preacher of Lincolnes-Inne.","Preston, John, 1587-1628.",Printed by I Beale for Andrew Crooke at the Blacke Beare in Paul s Church yard,London,"Sermons; 17th century.; Early works to 1800.; Sin; Sermons, English",1633
A02517,S118996,12646,"The best bargaine A sermon preached to the Court at Theobalds. on Sunday, Sept. 21. 1623. By Ios. Hall D.D.","Hall, Joseph, 1574-1656.",Printed by I Haviland for Nath Butter,London,"17th century.; Sermons, English",1623
A01538,S102970,11663,Ieroboams sonnes decease a funerall sermon on part of 1 Kings 14. 17. By Thomas Gataker B. of D. and pastor of Rotherhith.,"Gataker, Thomas, 1574-1654.",Printed by Iohn Hauiland,London,Funeral sermons.,1627
A02225,S118299,12360.3,"The burthen of tyre A sermon preach'd at Pauls Crosse, by Iohn Grent, then fellow of New Colledge in Oxford.","Grent, John.",Printed by A Mathewes for Richard Royston,London,"17th century.; Sermons, English",1627
A04159,S101360,14300,"An helpe to the best bargaine a sermon on Mat. 13-16. Preached on Sunday, the 20. of Octob. 1623. in the Cathedrall Church of Christ, Canterbury. By Thomas Iackson, doctor of divinitie, and one of the prebends, and lecturer there.","Jackson, Thomas, d. 1646.",Printed by Nich Okes for Mat Walbanke and are to be sold in Grais Inne Gate,London,"17th century.; Sermons, English",1624
A05188,S108382,15322,"Three Christian sermons, made by Lodouike Lauatere, minister of Zuricke in Heluetia, of famine and dearth of victuals: and translated into English, as being verie fit for this time of our dearth: by VV. Barlow Bachelar in Diuinitie","Barlow, William, d. 1613.; Lavater, Ludwig, 1527-1586.",Printed by Thomas Creede,London,No Keywords,1596
A01534,S102916,11659,"A good vvife Gods gift and, a vvife indeed. Tvvo mariage sermons. By Thomas Gataker B. of D. and pastor of Rotherhith.","Gataker, Thomas, 1574-1654.; Gataker, Thomas, 1574-1654. Two mariage sermons.",Printed by Iohn Hauiland for Fulke Clifton,London,"Wives; Sermons; 17th century.; Early works to 1800.; Sermons, English",1623
A02566,S103758,12693,"One of the sermons preach't to the Lords of the High Court of Parliament, in their solemne fast held on Ashwednesday, Feb. 18 And by their appointment published: by Ios: Exon.","Hall, Joseph, 1574-1656.",Printed by M Flesher for Nath Butter,London,"17th century.; Sermons, English",1629
A02784,S112562,12916,The danger of discontentment intreated of in a sermon preached at Crowhurst in Surrey the ninth of Iuly 1598. By Simon Harward.,"Harward, Simon, fl. 1572-1614.",by W W hite for R Iohnes,Imprinted at London,"Sermons, English; 16th century.",1599
A00776,S109711,10899,"A spirituall consolation, written by Iohn Fyssher Bishoppe of Rochester, to hys sister Elizabeth, at suche tyme as hee was prisoner in the Tower of London. Uery necessary, and commodious for all those that mynde to leade a vertuous lyfe: also to admonishe them, to be at all tymes prepared to dye, and seemeth to bee spoken in the person of one that was sodainly preue[n]ted by death","Fisher, John, Saint, 1469-1535.",W Carter,London,"Religious aspects; Death; Theology; Prisoners' writings, English; Early works to 1800.",1578
A02883,S113439,13022,"The seconde parte of the Domesticall or housholde sermons for a godly housholder, to his childre[n] and familie: compyled by the godly learned man Christopher Hegendorffine, doctor most necessarye for all faythefull housholders: now first translated out of laten in to English by Henry Reginalde.","Hegendorph, Christoph, 1500-1540.; Reginald, Henry, fl. 1548-1549.",By Jhon Oswen Cum priuilegio Regali ad imprimendum solum Per Septennium,Worcester Imprinted the last daye of february Anno Domini 1549 At Dorceter,"Sermons, English; 16th century.",1549
A00800,S117556,10919,"A godly sermon preached at Paules Crosse the 31. day of October 1591. By VVilliam Fisher, Master and keeper of the hospitall of Ilford in Essex. ... Seene and allowed","Fisher, William, student of diuinitie.",By Edward Allde for Edward Aggas,Imprinted at London,"Sermons, English; 16th century.",1592
A01379,S115603,115,"Fiue sermons preached vpon sundry especiall occasions Viz. 1 The sinners mourning habit: in Whitehall, March 29. being the first Tuesday after the departure of King Iames into blessednesse. 2 A visitation sermon: in Christs Church, at the trienniall visitation of the right reuerend father in God the lord bishop of London. 3 The holy choice: in the chappell by Guildhall, at the solemne election of the right honorable the lord maior of London. 4 The barren tree: at Pauls-Crosse, Octob. 26. 5 The temple: at Pauls-Crosse. August 5. By Tho: Adams.","Adams, Thomas, fl. 1612-1653. Barren tree. aut; Adams, Thomas, fl. 11612-1653. Temple. aut; Adams, Thomas, fl. 1612-1653.",Printed by Aug Matthewes and John Norton for Iohn Grismand,London,"17th century.; Sermons, English",1626
A02519,S118573,12647,"The character of man laid forth in a sermon preach't at the court, March, 1⁰. 1634. By the L. Bishop of Exceter.","Hall, Joseph, 1574-1656.",Printed by M Flesher for Nat Butter,London,"17th century.; Sermons, English",1635
A00584,S101884,10722,"Nicodemus for Christ, or The religious moote of an honest lawyer: deliuered in a sermon, preached at the assises at Okeham, in the county of Rutland, March. 10. 1627. By Antony Favvkner, Master of Arts, and late student in Iesus Colledge in Oxford","Fawkner, Antony, b. 1601 or 2.",Imprinted by Felix Kyngston for Robert Allott and are to be sold at his shop in S Pauls Churchyard at the signe of the Beare,London,"17th century.; Sermons, English",1630
A04618,S107860,14739.2,"The mysterie of Christes natiuitie A sermon preached in the parish church of All-Saints in Dorchester, within the countie of Dorset, the 25. day of December 1613. being Christmas Daye. By William Iones, Master of Arts, and preacher of Gods Word.","Jones, William, b. 1581 or 2.",Printed by William Stansby for Richard Hawkins and are to be sold at his shop in Chancery lane neere Seriants Inne,London,Christmas sermons.,1614
A03909,S104326,14018,"A faithful declaration of Christes holy supper comprehe[n]ded in thre sermo[n]s, preached at Eaton Colledge, by Roger Hutchinson. 1552. Whose contentes are in the other syde of the lefe.","Hutchinson, Roger, d. 1555.",By Iohn Day dwelling ouer Aldersgate,Newly imprinted at London,"Lord's Supper; Early works to 1800.; Sermons, English; 16th century.",1560
A01894,S103262,12033,Aggravation of sinne and sinning against knowledge. Mercie. Delivered in severall sermons upon divers occasions. By Tho: Goodvvin B.D.,"Goodwin, Thomas, 1600-1680.",Printed by M Flesher for Iohn Rothwell and are to be sold at his shop at the signe of the Sun in Pauls Churchyard,London,"Sin, Mortal; 17th century.; Knowledge, Theory of (Religion); Sermons, English; Early works to 1800.",1637
A09262,S114334,19576A,"Fiue godly, and profitable sermons concerning 1 The slaverie of sinne. 2 The mischiefe of ignorance. 3 The roote of apostasie. 4 The benefit of Gods service. 5 The Christians loue. Preached in his life time in sundry places. By that late faithfull minister of Christ Mr William Pemble of Magdalen Hall in the Vniversity of Oxford.","Tombes, John, 1603?-1676.; Pemble, William, 1592?-1623.",Printed by Iohn Lichfield printer to the famous Vniversitie and are to be sold by Edward Forrest,At Oxford,"17th century.; Sermons, English",1628
A04157,S107441,14299,"Dauids pastorall poeme: or sheepeheards song Seuen sermons, on the 23. Psalme of Dauid, whereof the last was preached at Ashford in Kent, the day whereon our gracious King was there proclaimed. By Thomas Iackson preacher of Gods word at Wie in Kent.","Swan, John, student in divinity.; Jackson, Thomas, d. 1646.",Printed by Thomas Purfoot and are to bee sold by Edmund Weauer at his shop at the great north doore of Paules Church,London,"O.T.; Sermons.; Bible.; 17th century.; Psalms XXIII; Sermons, English",1603
A09442,S114472,19731,"Lectures vpon the three first chapters of the Reuelation: preached in Cambridge anno Dom. 1595. by Master William Perkins, and now published for the benefite of this Church, by Robert Hill Bachelor in Diuinitie. To which is added an excellent sermon, penned at the request of that noble and wise councellor, Ambrose, Earle of Warwicke: in which is proued that Rome is Babylon, and that Babylon is fallen","Perkins, William, 1558-1602.; Hill, Robert, d. 1623.",Printed by Richard Field for Cuthbert Burbie and are to be sold at his shop in Paules Church yard at the signe of the Swan,London,Commentaries; Bible.; Revelation I-III; Early works to 1800.; N.T.,1604
A01547,S117263,11674,"Saint Stevens last will and testament A funerall sermon on Acts 7. ver. 59. preached at the enterrement of the remaines of Mris Joice Featly. Together with the testimonie then given unto her by Tho. Gataker, B. of D. and rector of Rotherhith.","Gataker, Thomas, 1574-1654.",Printed by E lizabeth P urslowe for Nicolas Bourne and are to be sold at his shop at the south entrance of the Royall Exchange,London,"Featley, Joyce, d. 1637.; 17th century.; Funeral sermons; Sermons, English; Early works to 1800.",1638
A08807,S120978,19094,"A sermon, preached at the funerall of that most honorable and worthie knight S. Richard Leueson vice-admirall of England: who dyed at London the 2. of August, and was interred at VVooluer Hampton in the countie of Stafford, the 2. day of September following. Anno Domi. 1605. By Samuel Page, Batchelour in Diuinitie, and vicar of Deptford in Kent.","Page, Samuel, 1574-1630.",Printed by William White dwelling in Cow lane neere Holborne Conduit,London,"Sir, 1570-1605; Early works to 1800.; Leveson, Richard,",1605
A05535,S108553,15657,"A true narration of all the passages of the proceedings in the generall Assembly of the Church of Scotland, holden at Perth the 25. of August, anno Dom. 1618 VVherein is set downe the copy of his Maiesties letters to the said Assembly: together with a iust defence of the Articles therein concluded, against a seditious pamphlet. By Dr. Lyndesay, Bishop of Brechen.","Calderwood, David, 1575-1650. Perth assembly.; Lindsay, David, d. 1641?",Printed by William Stansby for Ralph Rounthwait dwelling at the signe of the golden Lyon in Pauls Church yard,London,"Church of Scotland; Controversial literature.; Articles of Perth; Perth Assembly, Perth, Scotland, 1618; Church of Scotland.; Perth assembly; Calderwood, David, 1575-1650.; Controversial literature; Early works to 1800.",1621
A05167,S104881,15301,"A sermon preached before his Maiesty, on Tuesday the nineteenth of Iune, at Wansted. Anno Dom. 1621. By D. Laud Deane of Glocester, one of his Maiesties chaplaines in ordinary. Printed by commandement","Laud, William, 1573-1645.",Imprinted by F K ingston for Matthew Lownes dwelling in Pauls Church yard at the signe of the Bishops head,At London,"17th century.; Sermons; Sermons, English; Church of England",1621
A02585,S2711,12710.9,The righteous mammon an hospitall-sermon preach't in the solemne assembly of the city on Munday in Easter-weeke 1618 / by Ios. Hall ...,"Hall, Joseph, 1574-1656.",Printed by Edward Griffin for Nathaniell Butter,London,"Timothy, 1st, VI, 17; Sermons.; Bible.; 17th century.; Sermons, English; N.T.",1618
A02589,S103657,12713,"A sermon of publike thanksgiuing for the wonderfull mitigation of the late mortalitie preacht before his Matie; vpon his gracious command, at his court of Whitehall, Ian. 29. 1625. And vpon the same command published by Ios. Hall deane of Worcester.","Hall, Joseph, 1574-1656.",Printed by M Flesher for Nath Butter,London,"17th century.; Sermons, English",1626
A02497,S103638,12628,"A sermon preached at St Maries in Oxford vpon Tuesday in Easter vveeke, 1617 Concerning the abuses of obscure and difficult places of holy Scripture, and remedies against them. By Iohn Hales, Fellow of Eton Colledge, and Regius Professour of the Greeke tongue in the Vniversitie of Oxford.","Hales, John, 1584-1656.",Printed by Iohn Lichfield and William Wrench printers to the famous Vniversitie,At Oxford,No Keywords,1617
A05143,S108333,15276,"27 sermons preached by the ryght Reuerende father in God and constant matir [sic] of Iesus Christe, Maister Hugh Latimer, as well such as in tymes past haue bene printed, as certayne other commyng to our handes of late, whych were yet neuer set forth in print. Faithfully perused [and] allowed accordying to the order appoynted in the Quenes Maiesties iniunctions. 1. Hys sermon Ad clerum. 2. Hys fourth sermon vpon the plough. 3. Hys. 7. sermons before kyng Edward. 4 Hys sermon at Stamforde. 5. Hys last sermon before kyng Edward. 6. Hys. 7. sermons vpon the Lordes prayer. 7. Hys other. 9. sermons vpon certayne Gospels and Epistles","Latimer, Hugh, 1485?-1555.; Bernher, Augustine.",By Iohn Day dwelling ouer Aldersgate Cum gratia priuilegio Regi a e Maiestatis per septennium,Imprinted at London,"Sermons; Lord's prayer; Early works to 1800.; 16th century.; Sermons, English",1562
